product_type,product_name,summary,keywords,product_code,product_price
매직프레스,메이플 시럽(코핀),라떼가 연상되는 마블아트와 3D 엠보로 디테일이 살아있는 네일,"마블,시리얼,3D엠보네일,텍스처네일",MDR3F050CF,"10,800원"
글레이즈,리틀 펌킨,호박과 체크 디자인으로 완성된 귀여운 할로윈 네일,"할로윈,호박,캐릭터,글리터,체크",ZMA428N,"11,900원"
매직프레스,뉴 월드(아몬드),몽환적인 컬러감을 이용하여 색다른 감성으로 표현한 바다 네일,"바다네일,불가사리파츠,아몬드쉐입",MDR3S044PA,"14,800원"
매직프레스,펌킨 고스트(레귤러 라운드),호박과 유령을 귀여운 캐릭터로 표현한 할로윈 네일,"3D엠보,그라데이션,귀여운네일,할로윈네일,유령,호박",MDR3F001RR,"10,800원"
매직프레스,무브먼트(코핀),과감하게 믹스 매치된 컬러에 유니크한 3D 아트가 더해져 역동적인 분위기의 코핀 네일,,MDR1202PC,"14,800원"
글레이즈,캔디 체크,상큼한 컬러들과 시원한 체크 패턴이 포인트인 싱그러운 네일,"아트, 체크, 반시럽",ZMA423N,"11,900원"
매직프레스,러빙 유(롱 오발),은은한 핑크빛에 글리터와 풀스톤으로 화려함을 더한 프리미엄 네일,"풀스톤,마블,웨딩네일,프리미엄네일,글리터",MDR2W016PO,"14,800원"
매직프레스,대즐링 스카이(레귤러 스퀘어),"오묘한 바다색과 하늘을 마블과 글리터, 핑크 스톤으로 표현한 러블리 바다 네일",,MDR1155PR,"7,400원"
매직프레스,컬러 프렌치(숏 스퀘어),알록달록한 컬러 프렌치 네일,"프렌치,컬러프렌츠,씬프렌치",MDR3W050SS,"10,800원"
매직프레스,소프트 커피(레귤러 스퀘어),자석젤로 포인트를 준 차분한 호박 네일,"호박,자석젤,마그네틱",MDR3S150RS,"10,800원"
매직프레스,글린트 파라다이스(코핀),어느 각도에서 봐도 영롱하게 반짝이는 마그네틱 프렌치와 V컷 스톤의 결합으로 모든 순간을 빛내주는 코핀 네일,"프렌치네일,마그네틱프렌치,브이컷스톤",MDR3P031PC,"14,800원"
매직프레스 페디,플라워 트윈스,키치한 플라워 드로잉으로 트렌디한 매력을 담은 페디,"키치디자인,플라워,드로잉페디",MDR3P028P,"10,800원"
글레이즈,키치 스마일,스마일 드로잉과 체커보드 프렌치가 더해진 키치 네일,"프렌치,스마일,체커보드",ZMA412N,"14,800원"
매직프레스,화이트베리(레귤러 라운드),광택이 느껴지는 핑키쉬한 시럽 네일,"풀컬러,시럽네일",MDR3W052RR,"9,800원"
매직프레스,[공식몰 단독] 트윙클 데이(코핀),화려한 글리터와 크리스탈 스톤이 손끝을 빛내주는 프리미엄 파츠 네일,,MDR2F087PC,"14,800원"
매직프레스,버건디(코핀),매혹적인 분위기의 버건디 코핀 네일,"23.09 출시,풀컬러,버건디,데일리,베이직네일",MDR3F059CF,"9,800원"
매직프레스,틴티드 그레이(코핀),깔끔한 그레이 컬러 코핀 네일,"풀컬러,그레이,데일리,베이직네일",MDR3F069CF,"9,800원"
